file,voice_id,language,language_code,gender,type,duration_seconds,sample_rate
voices/arabic/male/arabic_male_english_open_swara_001.wav,arabic_male_english_open_swara_001,arabic,ar,male,english_accent,5.0,24000
voices/arabic/male/arabic_male_english_open_swara_002.wav,arabic_male_english_open_swara_002,arabic,ar,male,english_accent,5.6,24000
voices/arabic/male/arabic_male_open_swara_001.wav,arabic_male_open_swara_001,arabic,ar,male,native,5.88,24000
voices/arabic/male/arabic_male_open_swara_002.wav,arabic_male_open_swara_002,arabic,ar,male,native,6.4,24000
voices/bulgarian/male/bulgarian_male_english_open_swara_001.wav,bulgarian_male_english_open_swara_001,bulgarian,bg,male,english_accent,3.2,24000
voices/catalan/female/catalan_female_english_open_swara_001.wav,catalan_female_english_open_swara_001,catalan,ca,female,english_accent,4.4,24000
voices/catalan/female/catalan_female_english_open_swara_002.wav,catalan_female_english_open_swara_002,catalan,ca,female,english_accent,4.92,24000
voices/catalan/male/catalan_male_english_open_swara_001.wav,catalan_male_english_open_swara_001,catalan,ca,male,english_accent,4.16,24000
voices/chinese/female/chinese_female_english_open_swara_001.wav,chinese_female_english_open_swara_001,chinese,zh,female,english_accent,4.52,24000
voices/chinese/female/chinese_female_english_open_swara_002.wav,chinese_female_english_open_swara_002,chinese,zh,female,english_accent,6.06,24000
voices/chinese/female/chinese_female_english_open_swara_003.wav,chinese_female_english_open_swara_003,chinese,zh,female,english_accent,6.42,24000
voices/chinese/female/chinese_female_english_open_swara_004.wav,chinese_female_english_open_swara_004,chinese,zh,female,english_accent,3.76,24000
voices/chinese/female/chinese_female_english_open_swara_005.wav,chinese_female_english_open_swara_005,chinese,zh,female,english_accent,4.64,24000
voices/chinese/female/chinese_female_english_open_swara_006.wav,chinese_female_english_open_swara_006,chinese,zh,female,english_accent,4.36,24000
voices/chinese/female/chinese_female_english_open_swara_007.wav,chinese_female_english_open_swara_007,chinese,zh,female,english_accent,4.52,24000
voices/chinese/female/chinese_female_english_open_swara_008.wav,chinese_female_english_open_swara_008,chinese,zh,female,english_accent,4.68,24000
voices/chinese/female/chinese_female_open_swara_001.wav,chinese_female_open_swara_001,chinese,zh,female,native,26.92,24000
voices/chinese/female/chinese_female_open_swara_002.wav,chinese_female_open_swara_002,chinese,zh,female,native,9.46,24000
voices/chinese/female/chinese_female_open_swara_003.wav,chinese_female_open_swara_003,chinese,zh,female,native,5.78,24000
voices/chinese/female/chinese_female_open_swara_004.wav,chinese_female_open_swara_004,chinese,zh,female,native,4.52,24000
voices/chinese/female/chinese_female_open_swara_005.wav,chinese_female_open_swara_005,chinese,zh,female,native,4.8,24000
voices/chinese/female/chinese_female_open_swara_006.wav,chinese_female_open_swara_006,chinese,zh,female,native,4.72,24000
voices/chinese/female/chinese_female_open_swara_007.wav,chinese_female_open_swara_007,chinese,zh,female,native,3.84,24000
voices/chinese/female/chinese_female_open_swara_008.wav,chinese_female_open_swara_008,chinese,zh,female,native,10.92,24000
voices/chinese/male/chinese_male_english_open_swara_001.wav,chinese_male_english_open_swara_001,chinese,zh,male,english_accent,4.92,24000
voices/chinese/male/chinese_male_english_open_swara_002.wav,chinese_male_english_open_swara_002,chinese,zh,male,english_accent,4.16,24000
voices/chinese/male/chinese_male_english_open_swara_003.wav,chinese_male_english_open_swara_003,chinese,zh,male,english_accent,4.72,24000
voices/chinese/male/chinese_male_english_open_swara_004.wav,chinese_male_english_open_swara_004,chinese,zh,male,english_accent,4.28,24000
voices/chinese/male/chinese_male_english_open_swara_005.wav,chinese_male_english_open_swara_005,chinese,zh,male,english_accent,4.56,24000
voices/chinese/male/chinese_male_english_open_swara_006.wav,chinese_male_english_open_swara_006,chinese,zh,male,english_accent,5.44,24000
voices/chinese/male/chinese_male_english_open_swara_007.wav,chinese_male_english_open_swara_007,chinese,zh,male,english_accent,5.44,24000
voices/chinese/male/chinese_male_open_swara_001.wav,chinese_male_open_swara_001,chinese,zh,male,native,8.08,24000
voices/chinese/male/chinese_male_open_swara_002.wav,chinese_male_open_swara_002,chinese,zh,male,native,11.08,24000
